year,prcp_mm,tmax_c,tmin_c,date
1998,190.9,15.88516129032258,2.163978494623656,1998-01-01
1999,667.8,21.42183627752176,6.4600364823348695,1999-01-01
2000,713.8,20.8671267457669,6.109204980842912,2000-01-01
2001,647.1,21.372821300563235,6.764023937532002,2001-01-01
2002,502.5,21.02595686123912,5.82948732718894,2002-01-01
2003,527.8,20.757948668714796,5.3183736559139785,2003-01-01
2004,945.6,20.531122543566926,6.122384748485972,2004-01-01
2005,685.8,20.780048643113158,6.826303123399898,2005-01-01
2006,911.6,21.428602150537635,7.065100486431132,2006-01-01
2007,785.5,19.132285586277522,7.149404121863799,2007-01-01
2008,563.8,19.64560962798171,5.913053083673217,2008-01-01
2009,572.8,20.086759472606246,5.945388504864312,2009-01-01
2010,634.4,20.262420634920634,6.542100614439324,2010-01-01
2011,473,21.216192396313364,6.128348694316436,2011-01-01
2012,450.09999999999997,22.8705737856878,7.191018415523421,2012-01-01
2013,641.8,19.766351766513058,5.326494495647721,2013-01-01
2014,545.6999999999999,19.794012416794676,5.071880440348182,2014-01-01
2015,707.4,21.377479761463352,6.961547332132705,2015-01-01
2016,859.6999999999999,21.911926832282784,6.9875451118526755,2016-01-01
2017,667.4,21.59511456733231,6.389072580645161,2017-01-01
2018,793.3,20.205537634408604,5.571787634408603,2018-01-01
2019,928.8000000000001,19.427179979518687,5.404827188940092,2019-01-01
