DryPeriod_No,index_start,index_end,duration,date_start,date_end,DOY_start,DOY_end,year_start,year_end,year_dif,box_len,season_start,season_end
1,1296,1311,16,2002-04-18,2002-05-03,108,123,2002,2002,0,"(0,30]",Spring,Spring
2,1321,1324,4,2002-05-13,2002-05-16,133,136,2002,2002,0,"(0,30]",Spring,Spring
3,1336,1342,7,2002-05-28,2002-06-03,148,154,2002,2002,0,"(0,30]",Spring,Spring
4,1369,1804,436,2002-06-30,2003-09-08,181,251,2002,2003,1,"(365,1e+03]",Summer,Summer
5,1822,2089,268,2003-09-26,2004-06-19,269,171,2003,2004,1,"(180,365]",Fall,Spring
6,2132,2880,749,2004-08-01,2006-08-19,214,231,2004,2006,2,"(365,1e+03]",Summer,Summer
7,2900,3015,116,2006-09-08,2007-01-01,251,1,2006,2007,1,"(30,180]",Summer,Winter
8,3036,3064,29,2007-01-22,2007-02-19,22,50,2007,2007,0,"(0,30]",Winter,Winter
9,3619,3624,6,2008-08-27,2008-09-01,240,245,2008,2008,0,"(0,30]",Summer,Summer
10,4644,5432,789,2011-06-18,2013-08-14,169,226,2011,2013,2,"(365,1e+03]",Spring,Summer
11,5441,5754,314,2013-08-23,2014-07-02,235,183,2013,2014,1,"(180,365]",Summer,Summer
12,5763,6063,301,2014-07-11,2015-05-07,192,127,2014,2015,1,"(180,365]",Summer,Spring
13,6068,6080,13,2015-05-12,2015-05-24,132,144,2015,2015,0,"(0,30]",Spring,Spring
14,6132,6143,12,2015-07-15,2015-07-26,196,207,2015,2015,0,"(0,30]",Summer,Summer
15,6164,6410,247,2015-08-16,2016-04-18,228,109,2015,2016,1,"(180,365]",Summer,Spring
16,6629,6682,54,2016-11-23,2017-01-15,328,15,2016,2017,1,"(30,180]",Fall,Winter
17,6690,6757,68,2017-01-23,2017-03-31,23,90,2017,2017,0,"(30,180]",Winter,Spring
18,6930,6943,14,2017-09-20,2017-10-03,263,276,2017,2017,0,"(0,30]",Summer,Fall
19,7097,7109,13,2018-03-06,2018-03-18,65,77,2018,2018,0,"(0,30]",Winter,Winter
20,7122,7153,32,2018-03-31,2018-05-01,90,121,2018,2018,0,"(30,180]",Spring,Spring
21,7167,7242,76,2018-05-15,2018-07-29,135,210,2018,2018,0,"(30,180]",Spring,Summer
