year,month,n_prcp,n_tmax,n_tmin,prcp_mm_sum,tmax_c_mean,tmin_c_mean,TAvg_c_mean,n_days_mo,date
1998,10,31,31,31,113.1,23.129032258064516,8.4,15.764516129032257,31,1998-10-01
1998,11,30,30,30,74.5,15.02,2.95,8.985,30,1998-11-01
1998,12,31,31,31,3.3,9.506451612903225,-4.858064516129033,2.324193548387097,31,1998-12-01
1999,1,31,31,31,58.300000000000004,7.170967741935484,-6.361290322580645,0.4048387096774195,31,1999-01-01
1999,2,28,28,28,1.3,14.582142857142857,-1.7321428571428572,6.425,28,1999-02-01
1999,3,31,31,31,56.099999999999994,12.82258064516129,-1.364516129032258,5.7290322580645165,31,1999-03-01
1999,4,30,30,30,111.7,19.04,5.1033333333333335,12.071666666666667,30,1999-04-01
1999,5,31,31,31,70.89999999999999,26.216129032258063,10.987096774193548,18.601612903225806,31,1999-05-01
1999,6,30,30,30,86.5,28.643333333333334,15.666666666666666,22.155,30,1999-06-01
1999,7,31,31,31,152.5,33.95483870967742,20.616129032258065,27.28548387096774,31,1999-07-01
1999,8,31,31,31,73.4,33.89354838709677,19.06774193548387,26.480645161290322,31,1999-08-01
1999,9,30,30,30,38.1,25.743333333333332,12.813333333333334,19.278333333333332,30,1999-09-01
1999,10,31,31,31,4.8,23.29032258064516,5.04516129032258,14.167741935483871,31,1999-10-01
1999,11,30,30,30,3.6,20.85,1.2466666666666666,11.048333333333334,30,1999-11-01
1999,12,31,31,31,10.6,10.85483870967742,-3.567741935483871,3.643548387096774,31,1999-12-01
2000,1,31,31,31,21.6,7.325806451612904,-6.096774193548387,0.6145161290322579,31,2000-01-01
2000,2,29,29,29,47,13.017241379310345,-2.7862068965517244,5.115517241379311,28,2000-02-01
2000,3,31,31,31,145.6,15.303225806451612,0.9806451612903226,8.141935483870968,31,2000-03-01
2000,4,30,30,30,38.1,20.816666666666666,3.55,12.183333333333334,30,2000-04-01
2000,5,31,31,31,98.8,26.21290322580645,12.241935483870968,19.22741935483871,31,2000-05-01
2000,6,30,30,30,81.6,30.12333333333333,16.03,23.076666666666668,30,2000-06-01
2000,7,31,31,31,121.7,33.26129032258064,19.151612903225807,26.206451612903226,31,2000-07-01
2000,8,31,31,31,5.3,36.50967741935484,20.89032258064516,28.7,31,2000-08-01
2000,9,30,30,30,19.8,31.03,13.756666666666666,22.393333333333334,30,2000-09-01
2000,10,31,31,31,103.9,22.470967741935482,8.40967741935484,15.44032258064516,31,2000-10-01
2000,11,30,30,30,8.6,10.466666666666667,-3.44,3.513333333333333,30,2000-11-01
2000,12,31,31,31,21.8,3.867741935483871,-9.37741935483871,-2.7548387096774194,31,2000-12-01
2001,1,31,31,31,25.1,7.029032258064516,-6.254838709677419,0.3870967741935483,31,2001-01-01
2001,2,28,28,28,52.9,4.364285714285714,-6.982142857142858,-1.3089285714285714,28,2001-02-01
2001,3,31,31,31,40.199999999999996,12.59032258064516,-1.3935483870967742,5.598387096774194,31,2001-03-01
2001,4,30,30,30,24.7,22.503333333333334,7.3966666666666665,14.95,30,2001-04-01
2001,5,31,31,31,159.2,26.57741935483871,12.429032258064517,19.503225806451614,31,2001-05-01
2001,6,30,30,30,78.6,30.05666666666667,16.42,23.238333333333333,30,2001-06-01
2001,7,31,31,31,108.1,36.987096774193546,22.25483870967742,29.620967741935484,31,2001-07-01
2001,8,31,31,31,37.9,35.16129032258065,19.761290322580646,27.461290322580645,31,2001-08-01
2001,9,30,30,30,101.3,28.85333333333333,13.98,21.416666666666668,30,2001-09-01
2001,10,31,31,31,8.9,22.425806451612903,5.467741935483871,13.946774193548388,31,2001-10-01
