date,id,prcp,tmax,tmin,station_prcp,station_tmax,station_tmin,prcp_mm,tmax_c,tmin_c
1998-01-01,USC00144530,0,100,-44,USC00144530,NA,NA,0,10,-4.4
1998-01-02,USC00144530,0,94,6,USC00144530,NA,NA,0,9.4,0.6
1998-01-03,USC00144530,0,122,11,USC00144530,NA,NA,0,12.2,1.1
1998-01-04,USC00144530,84,28,-67,USC00144530,NA,NA,8.4,2.8,-6.7
1998-01-05,USC00144530,0,-17,-67,USC00144530,NA,NA,0,-1.7,-6.7
1998-01-06,USC00144530,0,11,-17,USC00144530,NA,NA,0,1.1,-1.7
1998-01-07,USC00144530,0,0,-44,USC00144530,NA,NA,0,0,-4.4
1998-01-08,USC00144530,0,17,-67,USC00144530,NA,NA,0,1.7,-6.7
1998-01-09,USC00144530,0,56,-67,USC00144530,NA,NA,0,5.6,-6.7
1998-01-10,USC00144530,0,-44,-106,USC00144530,NA,NA,0,-4.4,-10.6
1998-01-11,USC00144530,0,-56,-106,USC00144530,NA,NA,0,-5.6,-10.6
1998-01-12,USC00144530,0,-22,-33,USC00144530,NA,NA,0,-2.2,-3.3
1998-01-13,USC00144530,0,-17,-106,USC00144530,NA,NA,0,-1.7,-10.6
1998-01-14,USC00144530,0,-50,-106,USC00144530,NA,NA,0,-5,-10.6
1998-01-15,USC00144530,0,56,-100,USC00144530,NA,NA,0,5.6,-10
1998-01-16,USC00144530,0,122,-50,USC00144530,NA,NA,0,12.2,-5
1998-01-17,USC00144530,0,117,-11,USC00144530,NA,NA,0,11.7,-1.1
1998-01-18,USC00144530,0,100,-11,USC00144530,NA,NA,0,10,-1.1
1998-01-19,USC00144530,0,33,-39,USC00144530,NA,NA,0,3.3,-3.9
1998-01-20,USC00144530,0,33,-39,USC00144530,NA,NA,0,3.3,-3.9
1998-01-21,USC00144530,0,61,-39,USC00144530,NA,NA,0,6.1,-3.9
1998-01-22,USC00144530,0,6,-72,USC00144530,NA,NA,0,0.6,-7.2
1998-01-23,USC00144530,0,83,-67,USC00144530,NA,NA,0,8.3,-6.7
1998-01-24,USC00144530,0,83,-56,USC00144530,NA,NA,0,8.3,-5.6
1998-01-25,USC00144530,0,78,-56,USC00144530,NA,NA,0,7.8,-5.6
1998-01-26,USC00144530,0,122,-17,USC00144530,NA,NA,0,12.2,-1.7
1998-01-27,USC00144530,0,161,-11,USC00144530,NA,NA,0,16.1,-1.1
1998-01-28,USC00144530,0,189,-11,USC00144530,NA,NA,0,18.9,-1.1
1998-01-29,USC00144530,0,178,-17,USC00144530,NA,NA,0,17.8,-1.7
1998-01-30,USC00144530,0,144,-28,USC00144530,NA,NA,0,14.4,-2.8
1998-01-31,USC00144530,0,167,17,USC00144530,NA,NA,0,16.7,1.7
1998-02-01,USC00144530,363,78,11,USC00144530,NA,NA,36.3,7.8,1.1
1998-02-02,USC00144530,0,128,0,USC00144530,NA,NA,0,12.8,0
1998-02-03,USC00144530,0,139,-6,USC00144530,NA,NA,0,13.9,-0.6
1998-02-04,USC00144530,0,17,-22,USC00144530,NA,NA,0,1.7,-2.2
1998-02-05,USC00144530,0,-11,-39,USC00144530,NA,NA,0,-1.1,-3.9
1998-02-06,USC00144530,0,-17,-67,USC00144530,NA,NA,0,-1.7,-6.7
1998-02-07,USC00144530,0,106,-72,USC00144530,USC00143218,USC00143218,0,10.6,-7.2
1998-02-08,USC00144530,0,106,-61,USC00144530,NA,NA,0,10.6,-6.1
1998-02-09,USC00144530,0,117,22,USC00144530,NA,NA,0,11.7,2.2
1998-02-10,USC00144530,79,50,11,USC00144530,NA,NA,7.9,5,1.1
1998-02-11,USC00144530,0,39,-17,USC00144530,NA,NA,0,3.9,-1.7
1998-02-12,USC00144530,0,122,-22,USC00144530,NA,NA,0,12.2,-2.2
1998-02-13,USC00144530,0,106,-11,USC00144530,NA,NA,0,10.6,-1.1
1998-02-14,USC00144530,0,161,-11,USC00144530,NA,NA,0,16.1,-1.1
1998-02-15,USC00144530,0,122,17,USC00144530,NA,NA,0,12.2,1.7
1998-02-16,USC00144530,0,89,33,USC00144530,NA,NA,0,8.9,3.3
1998-02-17,USC00144530,0,56,6,USC00144530,NA,NA,0,5.6,0.6
1998-02-18,USC00144530,0,94,-17,USC00144530,NA,NA,0,9.4,-1.7
1998-02-19,USC00144530,0,139,-22,USC00144530,NA,NA,0,13.9,-2.2
1998-02-20,USC00144530,0,133,-22,USC00144530,NA,NA,0,13.3,-2.2
1998-02-21,USC00144530,0,144,-22,USC00144530,NA,NA,0,14.4,-2.2
1998-02-22,USC00144530,0,144,22,USC00144530,NA,NA,0,14.4,2.2
1998-02-23,USC00144530,0,94,17,USC00144530,NA,NA,0,9.4,1.7
1998-02-24,USC00144530,0,167,6,USC00144530,NA,NA,0,16.7,0.6
1998-02-25,USC00144530,0,194,22,USC00144530,NA,NA,0,19.4,2.2
1998-02-26,USC00144530,0,178,17,USC00144530,NA,NA,0,17.8,1.7
1998-02-27,USC00144530,0,122,-28,USC00144530,NA,NA,0,12.2,-2.8
1998-02-28,USC00144530,0,78,-28,USC00144530,NA,NA,0,7.8,-2.8
1998-03-01,USC00144530,0,78,-28,USC00144530,NA,NA,0,7.8,-2.8
1998-03-02,USC00144530,0,100,-67,USC00144530,NA,NA,0,10,-6.7
1998-03-03,USC00144530,0,67,-67,USC00144530,NA,NA,0,6.7,-6.7
1998-03-04,USC00144530,0,150,-67,USC00144530,NA,NA,0,15,-6.7
1998-03-05,USC00144530,0,56,-39,USC00144530,NA,NA,0,5.6,-3.9
1998-03-06,USC00144530,0,67,-56,USC00144530,NA,NA,0,6.7,-5.6
1998-03-07,USC00144530,20,44,-44,USC00144530,NA,NA,2,4.4,-4.4
1998-03-08,USC00144530,239,28,-61,USC00144530,NA,NA,23.9,2.8,-6.1
1998-03-09,USC00144530,0,-22,-111,USC00144530,NA,NA,0,-2.2,-11.1
1998-03-10,USC00144530,0,-39,-150,USC00144530,NA,NA,0,-3.9,-15
1998-03-11,USC00144530,0,-6,-150,USC00144530,NA,NA,0,-0.6,-15
1998-03-12,USC00144530,0,-83,-139,USC00144530,NA,NA,0,-8.3,-13.9
1998-03-13,USC00144530,0,67,-139,USC00144530,NA,NA,0,6.7,-13.9
1998-03-14,USC00144530,0,194,-11,USC00144530,NA,NA,0,19.4,-1.1
1998-03-15,USC00144530,0,0,-28,USC00144530,NA,NA,0,0,-2.8
1998-03-16,USC00144530,33,11,-17,USC00144530,NA,NA,3.3,1.1,-1.7
1998-03-17,USC00144530,188,0,-17,USC00144530,NA,NA,18.8,0,-1.7
1998-03-18,USC00144530,0,17,-6,USC00144530,NA,NA,0,1.7,-0.6
1998-03-19,USC00144530,102,33,-22,USC00144530,NA,NA,10.2,3.3,-2.2
1998-03-20,USC00144530,84,0,-28,USC00144530,NA,NA,8.4,0,-2.8
1998-03-21,USC00144530,0,94,-28,USC00144530,NA,NA,0,9.4,-2.8
1998-03-22,USC00144530,0,139,-6,USC00144530,NA,NA,0,13.9,-0.6
1998-03-23,USC00144530,0,222,17,USC00144530,NA,NA,0,22.2,1.7
1998-03-24,USC00144530,0,144,17,USC00144530,NA,NA,0,14.4,1.7
1998-03-25,USC00144530,0,189,28,USC00144530,NA,NA,0,18.9,2.8
1998-03-26,USC00144530,0,294,111,USC00144530,NA,NA,0,29.4,11.1
1998-03-27,USC00144530,20,194,144,USC00144530,NA,NA,2,19.4,14.4
1998-03-28,USC00144530,114,150,61,USC00144530,NA,NA,11.4,15,6.1
1998-03-29,USC00144530,0,261,61,USC00144530,NA,NA,0,26.1,6.1
1998-03-30,USC00144530,132,272,56,USC00144530,NA,NA,13.2,27.2,5.6
1998-03-31,USC00144530,84,100,17,USC00144530,NA,NA,8.4,10,1.7
1998-04-01,USC00144530,0,83,6,USC00144530,NA,NA,0,8.3,0.6
1998-04-02,USC00144530,0,200,17,USC00144530,NA,NA,0,20,1.7
1998-04-03,USC00144530,23,194,11,USC00144530,NA,NA,2.3,19.4,1.1
1998-04-04,USC00144530,0,61,-17,USC00144530,NA,NA,0,6.1,-1.7
1998-04-05,USC00144530,0,106,-17,USC00144530,NA,NA,0,10.6,-1.7
1998-04-06,USC00144530,0,239,39,USC00144530,NA,NA,0,23.9,3.9
1998-04-07,USC00144530,155,222,83,USC00144530,NA,NA,15.5,22.2,8.3
1998-04-08,USC00144530,0,117,39,USC00144530,NA,NA,0,11.7,3.9
1998-04-09,USC00144530,0,117,17,USC00144530,NA,NA,0,11.7,1.7
1998-04-10,USC00144530,0,172,17,USC00144530,NA,NA,0,17.2,1.7
1998-04-11,USC00144530,0,217,33,USC00144530,NA,NA,0,21.7,3.3
1998-04-12,USC00144530,0,267,106,USC00144530,NA,NA,0,26.7,10.6
1998-04-13,USC00144530,0,272,111,USC00144530,NA,NA,0,27.2,11.1
1998-04-14,USC00144530,0,233,94,USC00144530,NA,NA,0,23.3,9.4
1998-04-15,USC00144530,0,256,83,USC00144530,NA,NA,0,25.6,8.3
1998-04-16,USC00144530,0,117,11,USC00144530,NA,NA,0,11.7,1.1
1998-04-17,USC00144530,0,150,6,USC00144530,NA,NA,0,15,0.6
1998-04-18,USC00144530,0,156,0,USC00144530,NA,NA,0,15.6,0
1998-04-19,USC00144530,15,183,28,USC00144530,NA,NA,1.5,18.3,2.8
1998-04-20,USC00144530,0,217,39,USC00144530,NA,NA,0,21.7,3.9
1998-04-21,USC00144530,0,178,22,USC00144530,NA,NA,0,17.8,2.2
1998-04-22,USC00144530,0,194,17,USC00144530,NA,NA,0,19.4,1.7
1998-04-23,USC00144530,0,217,39,USC00144530,NA,NA,0,21.7,3.9
1998-04-24,USC00144530,0,256,72,USC00144530,NA,NA,0,25.6,7.2
1998-04-25,USC00144530,0,267,111,USC00144530,NA,NA,0,26.7,11.1
1998-04-26,USC00144530,0,272,106,USC00144530,NA,NA,0,27.2,10.6
1998-04-27,USC00144530,0,194,89,USC00144530,NA,NA,0,19.4,8.9
1998-04-28,USC00144530,46,100,44,USC00144530,NA,NA,4.6,10,4.4
1998-04-29,USC00144530,58,67,44,USC00144530,NA,NA,5.8,6.7,4.4
1998-04-30,USC00144530,13,89,28,USC00144530,NA,NA,1.3,8.9,2.8
1998-05-01,USC00144530,0,222,28,USC00144530,NA,NA,0,22.2,2.8
1998-05-02,USC00144530,30,272,67,USC00144530,NA,NA,3,27.2,6.7
1998-05-03,USC00144530,0,211,56,USC00144530,NA,NA,0,21.1,5.6
1998-05-04,USC00144530,0,233,39,USC00144530,NA,NA,0,23.3,3.9
1998-05-05,USC00144530,0,283,117,USC00144530,NA,NA,0,28.3,11.7
1998-05-06,USC00144530,61,228,117,USC00144530,NA,NA,6.1,22.8,11.7
1998-05-07,USC00144530,0,233,94,USC00144530,NA,NA,0,23.3,9.4
1998-05-08,USC00144530,0,211,78,USC00144530,NA,NA,0,21.1,7.8
1998-05-09,USC00144530,69,228,78,USC00144530,NA,NA,6.9,22.8,7.8
1998-05-10,USC00144530,8,206,78,USC00144530,NA,NA,0.8,20.6,7.8
1998-05-11,USC00144530,0,244,89,USC00144530,NA,NA,0,24.4,8.9
1998-05-12,USC00144530,0,294,117,USC00144530,NA,NA,0,29.4,11.7
1998-05-13,USC00144530,0,267,111,USC00144530,NA,NA,0,26.7,11.1
1998-05-14,USC00144530,0,317,144,USC00144530,NA,NA,0,31.7,14.4
1998-05-15,USC00144530,56,300,150,USC00144530,NA,NA,5.6,30,15
1998-05-16,USC00144530,0,261,133,USC00144530,NA,NA,0,26.1,13.3
1998-05-17,USC00144530,0,300,133,USC00144530,NA,NA,0,30,13.3
1998-05-18,USC00144530,0,317,183,USC00144530,NA,NA,0,31.7,18.3
1998-05-19,USC00144530,163,378,172,USC00144530,NA,NA,16.3,37.8,17.2
