Years,AvgWater_AF,SumWater_AF,AvgWater_m3,SumWater_m3,date,year,prcp_mm,tmax_c,tmin_c,Year,Percent_Dry,AveargeNoFlowLength,FirstDayofNoFlow
1998,60.644015496035955,21589.2695165888,74803.18023405044,26629932.163321953,1998-01-01,1998,190.9,15.88516129032258,2.163978494623656,1998,0,0,0
1999,53.304523746358704,18976.4104537037,65750.06395065853,23407022.76643444,1999-01-01,1999,667.8,21.42183627752176,6.4600364823348695,1999,0,0,0
2000,74.17335410401067,26405.7140610278,91491.34882021508,32570920.179996572,2000-01-01,2000,713.8,20.8671267457669,6.109204980842912,2000,0,0,0
2001,70.74823992847276,25186.3734145363,87266.53898697258,31066887.879362237,2001-01-01,2001,647.1,21.372821300563235,6.764023937532002,2001,0,0,0
2002,79.40313011937444,28267.5143224973,97942.17293964599,34867413.56651397,2002-01-01,2002,502.5,21.02595686123912,5.82948732718894,2002,57.80821917808219,50.75,108
2003,74.92598330641039,26673.6500570821,92419.70188879108,32901413.87240963,2003-01-01,2003,527.8,20.757948668714796,5.3183736559139785,2003,95.34246575342465,173.5,1
2004,56.84105065176095,20235.4140320269,70112.2991579341,24959978.500224542,2004-01-01,2004,945.6,20.531122543566926,6.122384748485972,2004,88.52459016393442,161.5,1
2005,66.23081493716349,23578.1701176302,81694.38560869242,29083201.276694503,2005-01-01,2005,685.8,20.780048643113158,6.826303123399898,2005,100,365,1
2006,61.529445189310955,21904.4824873947,75895.34005211128,27018741.058551613,2006-01-01,2006,911.6,21.428602150537635,7.065100486431132,2006,94.79452054794521,172.5,1
2007,62.406189922867696,22216.6036125409,76976.78714605885,27403736.223996952,2007-01-01,2007,785.5,19.132285586277522,7.149404121863799,2007,8.21917808219178,15,1
2008,51.98008219506152,18504.9092614419,64116.391785964486,22825435.475803353,2008-01-01,2008,563.8,19.64560962798171,5.913053083673217,2008,1.912568306010929,6,240
2009,58.48333642678736,20820.0677679363,72138.02581571367,25681137.190394066,2009-01-01,2009,572.8,20.086759472606246,5.945388504864312,2009,0,0,0
2010,70.06585945318454,24943.4459653337,86424.83631831408,30767241.72931981,2010-01-01,2010,634.4,20.262420634920634,6.542100614439324,2010,0,0,0
2011,81.02964469284719,28846.5535106536,99948.44613573315,35581646.824321,2011-01-01,2011,473,21.216192396313364,6.128348694316436,2011,53.97260273972603,196,169
2012,74.81201947560675,26633.078933316,92279.12978277142,32851370.202666618,2012-01-01,2012,450.09999999999997,22.8705737856878,7.191018415523421,2012,100,365,1
2013,57.25453989724213,20382.6162034182,70622.32987245022,25141549.434592284,2013-01-01,2013,641.8,19.766351766513058,5.326494495647721,2013,97.80821917808218,178,1
2014,64.10642169971882,22821.8861250999,79073.98903816918,28150340.097588226,2014-01-01,2014,545.6999999999999,19.794012416794676,5.071880440348182,2014,97.80821917808218,178,1
2015,60.966804621773036,21704.182445351198,75201.3341648646,26771674.962691795,2015-01-01,2015,707.4,21.377479761463352,6.961547332132705,2015,79.45205479452055,154.5,1
2016,45.59498399549382,16231.8143023958,56240.50085876172,20021618.30571917,2016-01-01,2016,859.6999999999999,21.911926832282784,6.9875451118526755,2016,40.43715846994536,73,1
2017,66.3793256074441,23631.0399162501,81877.57055027015,29148415.115896177,2017-01-01,2017,667.4,21.59511456733231,6.389072580645161,2017,26.301369863013697,32.33,1
2018,54.862381457329775,19531.0077988094,67671.65027998714,24091107.499675423,2018-01-01,2018,793.3,20.205537634408604,5.571787634408603,2018,33.42465753424658,40.33,65
