Year,Percent_Dry,AveargeNoFlowLength,FirstDayofNoFlow
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,57.80821917808219,50.75,108
2003,95.34246575342465,173.5,1
2004,88.52459016393442,161.5,1
2005,100,365,1
2006,94.79452054794521,172.5,1
2007,8.21917808219178,15,1
2008,1.912568306010929,6,240
2009,0,0,0
2010,0,0,0
2011,53.97260273972603,196,169
2012,100,365,1
2013,97.80821917808218,178,1
2014,97.80821917808218,178,1
2015,79.45205479452055,154.5,1
2016,40.43715846994536,73,1
2017,26.301369863013697,32.33,1
2018,33.42465753424658,40.33,65
2019,0,0,0
